id,concept_revision_round_id,question_id,viewed_timestamp
1,1,1,2026-01-11 15:05:00
2,1,2,2026-01-11 15:15:00
3,2,7,2026-01-11 16:05:00
4,2,8,2026-01-11 16:15:00
5,2,9,2026-01-11 16:25:00
6,3,5,2026-01-11 17:10:00
7,3,6,2026-01-11 17:30:00
8,4,5,2026-01-12 09:10:00
9,4,6,2026-01-12 09:25:00
10,5,1,2026-01-12 11:05:00
11,5,2,2026-01-12 11:15:00
12,6,14,2026-01-13 09:40:00
13,6,15,2026-01-13 09:50:00
14,7,15,2026-01-13 10:40:00
15,7,16,2026-01-13 10:55:00
16,8,17,2026-01-14 10:40:00
17,8,18,2026-01-14 10:50:00
